Társasjáték neve,Társasjáték ID,Alapjáték?,"Az alapjáték, ha kiegészítő lenne",Az alapjáték iD-ja,A Játék nyelve,A játék nyelvüggetlen,Van hozzá magyar szabály,Minimális játékosszám,Maximális játékosszám,Kiadás éve,Kiadó,Megjegyzés,Szerző
tarsasjatekNev,tarsasjatekID,alapjatek,alapjatekNev,alapjatekID,jatekNyelv,nyelvfuggetlen,magyarJatekszabaly,minJatekos,maxJatekos,kiadasEv,kiado,megjegyzes,szerzo
My City – Roll & Build,116,igen,,,angol,nem,nem,1,6,,Kosmos,,Reiner Knizia
Nemeton,117,igen,,,német,igen,igen,2,4,,,,
Nova Luna,118,igen,,,angol,igen,igen,1,4,,,,
Okanagan: Valley of the Lakes,119,igen,,,angol,igen,igen,2,4,,,,
Osztályharc: Az 1917-es forradalmak,120,igen,,,magyar,igen,igen,1,2,,,,
Pagony,121,igen,,,magyar,igen,igen,1,1,,,,
Patchwork Doodle,122,igen,,,angol,igen,igen,1,6,,LookOut Games,,Uwe Rosenberg
Patchwork: 10 éves jubileumi kiadás,123,igen,,,magyar,igen,igen,1,2,,,,
Police 07,124,igen,,,magyar,igen,igen,3,6,1986,Novoplast,,
Police 07 Reloade -Second edition,125,igen,,,magyar,igen,igen,3,6,2015,,,
Race to the North Pole,126,igen,,,angol,igen,igen,2,4,,,,
Raiders of the North Sea,127,igen,,,angol,nem,igen,2,4,,,,
Raiders of the North Sea: Hall of Heroes,128,nem,Raiders of the North Sea,127,angol,nem,igen,2,5,,,,
Rallyman: GT,129,igen,,,magyar,igen,igen,1,6,,Delta Vision,,
Ramses II.,130,igen,,,német,igen,igen,2,5,1997,,,
Remény Hadművelet,131,igen,,,magyar,igen,igen,2,5,,Reflexshop,,
Schweinsgalopp,132,igen,,,német,igen,igen,2,5,,,,
Snow Tails,133,igen,,,angol,igen,igen,2,5,,,,
Star Wars Legion,134,igen,,,angol,nem,részben,2,2,,,,
Star Wars: A Hoth ostroma,135,igen,,,magyar,nem,igen,2,4,2025,Gémklub,,
Star Wars: Lázadás,136,igen,,,magyar,nem,igen,2,4,,,,
Star Wars: Lázadás – A birodalom Felemelkedése,137,nem,Star Wars: Lázadás,136,magyar,nem,igen,2,4,,,,
Stone Age: Jubileum,138,igen,,,magyar,igen,igen,2,4,,,,
Stratego,139,igen,,,multi,igen,nem,2,2,1980,Jumbo multilingual edition 1980 ,,
Sushi GO!,140,igen,,,magyar,igen,igen,2,5,,Reflexshop,,Phil Walker-Harding
Szabadulópakli: Szökés Alcatrazból,141,igen,,,magyar,nem,igen,1,6,,,,
Tábortűz,142,igen,,,magyar,igen,igen,2,6,,Reflexshop,,
Taluva,143,igen,,,angol,igen,igen,2,4,,,,
Taluva: Extension,144,nem,,,angol,igen,igen,2,5,,,,
The Castles of Burgundy,145,igen,,,angol,igen,igen,1,4,,,,
The Castles of Burgundy: Special Edition,146,igen,,,angol,igen,igen,1,4,,,,
The Castles of Burgundy: Special Edition – Acrylic Hexes,147,nem,The Castles of Burgundy: Special Edition,146,angol,igen,igen,1,4,,,,
The Castles of Burgundy: Special Edition – Acrylic Tiles,148,nem,The Castles of Burgundy: Special Edition,146,angol,igen,igen,1,4,,,,
The Castles of Burgundy: The Dice Game,149,igen,,,angol,igen,igen,1,5,,,,"Stefan Feld, Chr. Toussaint"
Ticket to Ride: northern Lights,150,igen,,,angol,igen,nem,2,5,,,Skandináv kiadás,
Tikal,151,igen,,,multi,igen,igen,2,4,,,,
Tobago,152,igen,,,angol,igen,igen,2,4,,,,
Tucano,153,igen,,,magyar,igen,igen,2,4,,,,
Turing Machine,154,igen,,,magyar,nem,igen,1,4,,,,
Vasútvonal – Sötétkék kiadás,155,igen,,,magyar,igen,igen,1,6,,Delta Vision,,
Vasútvonal – Tűzvörös kiadás,156,igen,,,magyar,igen,igen,1,6,,Delta Vision,,
Vasútvonal kihívás – Bujazöld kihívás,157,igen,,,magyar,igen,igen,1,6,,Delta Vision,,
Velonimo,158,igen,,,magyar,igen,igen,2,5,,Reflexshop,,
Vigyáz(z) 6!,159,igen,,,magyar,igen,igen,2,10,,,,
Virágoskert,160,igen,,,magyar,igen,igen,1,4,,,,
Vörös 7 – Print and play,161,igen,,,angol,igen,igen,2,4,,,,
Worms the board game – Collector’s Edition,162,igen,,,angol,nem,igen,2,6,,,,
X-Wing,163,igen,,,angol,nem,részben,2,2,,,,
